datetime,timestamp,tokens,consommation_co2_g,consommation_eau_L,consommation_electricite_kWh,usage
2025-01-01 08:00:00,1735718400,4946,199.59,0.98,0.4637,cours
2025-01-01 08:15:00,1735719300,858,34.05,0.18,0.0797,autre
2025-01-01 08:30:00,1735720200,1109,59.54,0.35,0.1471,autre
2025-01-01 08:45:00,1735721100,354,14.79,0.12,0.0415,autre
2025-01-01 09:00:00,1735722000,3767,174.59,1.03,0.4092,cours
2025-01-01 09:15:00,1735722900,4389,151.9,0.83,0.372,cours
2025-01-01 09:30:00,1735723800,824,44.42,0.28,0.1037,autre
2025-01-01 09:45:00,1735724700,4565,264.75,1.82,0.6227,cours
2025-01-01 10:00:00,1735725600,2982,161.29,0.57,0.3748,cours
2025-01-01 10:15:00,1735726500,4909,118.59,0.88,0.2952,cours
2025-01-01 10:30:00,1735727400,5798,234.1,1.05,0.6431,cours
2025-01-01 10:45:00,1735728300,691,18.47,0.12,0.0443,autre
2025-01-01 11:00:00,1735729200,3054,101.44,0.47,0.2462,cours
2025-01-01 11:15:00,1735730100,1236,33.96,0.14,0.08,autre
2025-01-01 11:30:00,1735731000,5079,201.87,1.19,0.5501,cours
2025-01-01 11:45:00,1735731900,2977,126.42,0.84,0.3421,cours
2025-01-01 12:00:00,1735732800,3079,93.49,0.44,0.2129,cours
2025-01-01 12:15:00,1735733700,3218,124.05,0.46,0.2919,cours
2025-01-01 12:30:00,1735734600,396,16.85,0.09,0.0382,autre
2025-01-01 12:45:00,1735735500,524,19.98,0.13,0.0469,autre
2025-01-01 13:00:00,1735736400,498,14.22,0.07,0.0347,autre
2025-01-01 13:15:00,1735737300,569,22.1,0.1,0.0532,autre
2025-01-01 13:30:00,1735738200,3465,182.64,0.9,0.4161,cours
2025-01-01 13:45:00,1735739100,870,23.31,0.09,0.0571,autre
2025-01-01 14:00:00,1735740000,5050,138.6,0.92,0.3354,cours
2025-01-01 14:15:00,1735740900,2501,80.82,0.61,0.221,cours
2025-01-01 14:30:00,1735741800,4484,241.16,1.45,0.6069,cours
2025-01-01 14:45:00,1735742700,3286,157.24,0.76,0.3729,cours
2025-01-01 15:00:00,1735743600,3450,148.69,1.06,0.3943,cours
2025-01-01 15:15:00,1735744500,4174,137.46,0.87,0.3713,cours
2025-01-01 15:30:00,1735745400,463,18.98,0.14,0.0498,autre
2025-01-01 15:45:00,1735746300,3882,88.32,0.58,0.2361,cours
2025-01-01 16:00:00,1735747200,3666,151.02,1.09,0.4065,cours
2025-01-01 16:15:00,1735748100,3992,208.48,1.27,0.5312,cours
2025-01-01 16:30:00,1735749000,3789,182.05,0.88,0.413,cours
2025-01-01 16:45:00,1735749900,1536,79.95,0.59,0.1995,autre
2025-01-01 17:00:00,1735750800,2862,124.46,0.78,0.3375,cours
2025-01-01 17:15:00,1735751700,640,15.94,0.11,0.0446,autre
2025-01-01 17:30:00,1735752600,613,34.0,0.15,0.081,autre
2025-01-01 17:45:00,1735753500,2944,74.66,0.47,0.1923,cours
2025-01-01 18:00:00,1735754400,2862,127.05,0.69,0.294,cours
2025-01-01 18:15:00,1735755300,1156,34.32,0.15,0.0825,autre
2025-01-01 18:30:00,1735756200,1226,32.1,0.12,0.0747,autre
2025-01-01 18:45:00,1735757100,628,22.21,0.14,0.0589,autre
2025-01-01 19:00:00,1735758000,550,19.28,0.12,0.046,autre
2025-01-01 19:15:00,1735758900,3971,147.8,0.9,0.3927,cours
2025-01-01 19:30:00,1735759800,2947,138.9,0.58,0.3129,cours
2025-01-01 19:45:00,1735760700,4132,108.53,0.66,0.2624,cours
2025-01-01 20:00:00,1735761600,860,22.97,0.1,0.0601,autre
2025-01-01 20:15:00,1735762500,345,13.61,0.08,0.0361,autre
2025-01-01 20:30:00,1735763400,5047,162.91,0.77,0.4414,cours
2025-01-01 20:45:00,1735764300,5295,262.83,1.11,0.6266,cours
2025-01-01 21:00:00,1735765200,2887,120.44,0.58,0.3239,cours
2025-01-01 21:15:00,1735766100,3112,162.68,0.83,0.3972,cours
2025-01-01 21:30:00,1735767000,885,38.45,0.16,0.1021,autre
2025-01-01 21:45:00,1735767900,900,35.36,0.18,0.085,autre
2025-01-01 22:00:00,1735768800,997,48.97,0.26,0.1135,autre
2025-01-01 22:15:00,1735769700,5510,193.36,1.01,0.452,cours
2025-01-01 22:30:00,1735770600,3323,119.65,0.58,0.2808,cours
2025-01-01 22:45:00,1735771500,560,25.43,0.19,0.0689,autre
2025-01-01 23:00:00,1735772400,386,13.26,0.06,0.0369,autre
2025-01-01 23:15:00,1735773300,2769,144.02,0.77,0.343,cours
2025-01-01 23:30:00,1735774200,790,38.44,0.16,0.0994,autre
2025-01-01 23:45:00,1735775100,5294,267.73,1.09,0.6808,cours
2025-01-02 00:00:00,1735776000,2982,140.4,0.94,0.3976,cours
2025-01-02 00:15:00,1735776900,3723,132.24,0.83,0.3517,cours
2025-01-02 00:30:00,1735777800,3483,105.24,0.84,0.2978,cours
2025-01-02 00:45:00,1735778700,4688,218.8,1.17,0.4996,cours
2025-01-02 01:00:00,1735779600,6026,202.33,1.59,0.5405,cours
2025-01-02 01:15:00,1735780500,640,28.07,0.11,0.0692,autre
2025-01-02 01:30:00,1735781400,3010,124.04,0.58,0.3505,cours
2025-01-02 01:45:00,1735782300,4544,217.88,0.82,0.5229,cours
2025-01-02 02:00:00,1735783200,1004,34.53,0.16,0.0903,autre
2025-01-02 02:15:00,1735784100,5346,172.45,0.91,0.3921,cours
2025-01-02 02:30:00,1735785000,4083,169.21,0.95,0.3856,cours
2025-01-02 02:45:00,1735785900,692,18.9,0.08,0.0494,autre
2025-01-02 03:00:00,1735786800,4090,236.17,1.57,0.5366,cours
2025-01-02 03:15:00,1735787700,4608,181.64,1.12,0.404,cours
2025-01-02 03:30:00,1735788600,4320,135.2,0.61,0.3126,cours
2025-01-02 03:45:00,1735789500,4007,108.0,0.4,0.2486,cours
2025-01-02 04:00:00,1735790400,1120,46.89,0.22,0.1251,autre
2025-01-02 04:15:00,1735791300,1150,52.02,0.22,0.1276,autre
2025-01-02 04:30:00,1735792200,1214,37.78,0.18,0.1059,autre
2025-01-02 04:45:00,1735793100,994,23.49,0.15,0.0653,autre
2025-01-02 05:00:00,1735794000,749,31.26,0.13,0.0695,autre
2025-01-02 05:15:00,1735794900,3646,118.45,0.63,0.3095,cours
2025-01-02 05:30:00,1735795800,1161,56.31,0.4,0.1326,autre
2025-01-02 05:45:00,1735796700,2683,125.33,0.74,0.291,cours
2025-01-02 06:00:00,1735797600,910,35.36,0.24,0.0811,autre
2025-01-02 06:15:00,1735798500,681,23.72,0.09,0.0527,autre
2025-01-02 06:30:00,1735799400,3528,183.54,1.02,0.4905,cours
2025-01-02 06:45:00,1735800300,4778,162.93,1.07,0.4602,cours
2025-01-02 07:00:00,1735801200,3691,166.11,0.69,0.4247,cours
2025-01-02 07:15:00,1735802100,3546,91.71,0.38,0.2526,cours
2025-01-02 07:30:00,1735803000,392,13.65,0.1,0.0387,autre
2025-01-02 07:45:00,1735803900,1023,24.57,0.16,0.0636,autre
2025-01-02 08:00:00,1735804800,4145,178.34,0.88,0.4163,cours
2025-01-02 08:15:00,1735805700,5663,315.75,1.74,0.7765,cours
2025-01-02 08:30:00,1735806600,3192,110.43,0.61,0.2896,cours
2025-01-02 08:45:00,1735807500,3719,97.52,0.36,0.2347,cours
2025-01-02 09:00:00,1735808400,3749,87.41,0.47,0.2342,cours
2025-01-02 09:15:00,1735809300,5077,162.44,0.82,0.4622,cours
2025-01-02 09:30:00,1735810200,771,23.94,0.09,0.0561,autre
2025-01-02 09:45:00,1735811100,3779,96.41,0.69,0.2338,cours
2025-01-02 10:00:00,1735812000,4107,210.93,1.19,0.4949,cours
2025-01-02 10:15:00,1735812900,855,29.25,0.21,0.0827,autre
2025-01-02 10:30:00,1735813800,3053,110.09,0.5,0.2538,cours
2025-01-02 10:45:00,1735814700,858,46.66,0.24,0.1133,autre
2025-01-02 11:00:00,1735815600,1122,31.59,0.14,0.0777,autre
2025-01-02 11:15:00,1735816500,2473,139.21,0.56,0.3375,cours
2025-01-02 11:30:00,1735817400,3632,134.92,0.55,0.3091,cours
2025-01-02 11:45:00,1735818300,2799,149.94,0.99,0.3669,cours
2025-01-02 12:00:00,1735819200,4695,207.38,1.28,0.5082,cours
2025-01-02 12:15:00,1735820100,1976,111.93,0.58,0.2492,cours
2025-01-02 12:30:00,1735821000,632,37.32,0.19,0.0877,autre
2025-01-02 12:45:00,1735821900,3877,126.97,0.93,0.3221,cours
2025-01-02 13:00:00,1735822800,5065,291.72,1.12,0.6934,cours
2025-01-02 13:15:00,1735823700,3434,121.75,0.6,0.313,cours
2025-01-02 13:30:00,1735824600,633,21.44,0.12,0.0575,autre
2025-01-02 13:45:00,1735825500,5381,192.3,1.25,0.4694,cours
2025-01-02 14:00:00,1735826400,2051,93.83,0.63,0.2119,cours
2025-01-02 14:15:00,1735827300,1301,41.68,0.18,0.0941,cours
2025-01-02 14:30:00,1735828200,932,37.35,0.27,0.0972,autre
2025-01-02 14:45:00,1735829100,2997,124.74,0.85,0.3097,cours
2025-01-02 15:00:00,1735830000,493,22.13,0.11,0.0596,autre
2025-01-02 15:15:00,1735830900,1012,57.64,0.27,0.1282,autre
2025-01-02 15:30:00,1735831800,3743,159.74,0.75,0.3565,cours
2025-01-02 15:45:00,1735832700,630,22.01,0.16,0.053,autre
2025-01-02 16:00:00,1735833600,2219,77.13,0.32,0.1792,cours
2025-01-02 16:15:00,1735834500,1061,33.8,0.22,0.0802,autre
2025-01-02 16:30:00,1735835400,995,26.31,0.13,0.0643,autre
2025-01-02 16:45:00,1735836300,3400,105.59,0.77,0.2971,cours
2025-01-02 17:00:00,1735837200,5346,172.56,0.93,0.4363,cours
2025-01-02 17:15:00,1735838100,478,27.4,0.16,0.0656,autre
2025-01-02 17:30:00,1735839000,1974,86.27,0.57,0.2065,cours
2025-01-02 17:45:00,1735839900,2808,95.47,0.67,0.2465,cours
2025-01-02 18:00:00,1735840800,3454,163.29,1.03,0.3676,cours
2025-01-02 18:15:00,1735841700,3743,97.65,0.42,0.2663,cours
2025-01-02 18:30:00,1735842600,727,27.78,0.18,0.0694,autre
2025-01-02 18:45:00,1735843500,3852,177.74,0.73,0.4241,cours
2025-01-02 19:00:00,1735844400,2248,93.51,0.47,0.2228,cours
2025-01-02 19:15:00,1735845300,4943,188.95,1.06,0.4555,cours
2025-01-02 19:30:00,1735846200,775,40.82,0.23,0.1081,autre
2025-01-02 19:45:00,1735847100,4617,220.17,1.37,0.6022,cours
2025-01-02 20:00:00,1735848000,902,40.99,0.3,0.0991,autre
2025-01-02 20:15:00,1735848900,3956,171.17,0.71,0.4176,cours
2025-01-02 20:30:00,1735849800,970,39.13,0.27,0.1064,autre
2025-01-02 20:45:00,1735850700,3947,126.32,0.63,0.3004,cours
2025-01-02 21:00:00,1735851600,4142,150.08,0.64,0.3795,cours
2025-01-02 21:15:00,1735852500,4829,127.11,0.53,0.305,cours
2025-01-02 21:30:00,1735853400,858,36.49,0.25,0.0841,autre
2025-01-02 21:45:00,1735854300,1012,38.42,0.3,0.1047,autre
2025-01-02 22:00:00,1735855200,3410,93.87,0.76,0.2667,cours
2025-01-02 22:15:00,1735856100,1232,72.29,0.5,0.1689,autre
2025-01-02 22:30:00,1735857000,597,32.57,0.14,0.0793,autre
2025-01-02 22:45:00,1735857900,5300,262.14,1.27,0.6242,cours
2025-01-02 23:00:00,1735858800,3459,154.06,0.89,0.3551,cours
2025-01-02 23:15:00,1735859700,2069,115.37,0.6,0.2681,cours
2025-01-02 23:30:00,1735860600,3628,114.02,0.54,0.2556,cours
2025-01-02 23:45:00,1735861500,595,29.59,0.15,0.0733,autre
2025-01-03 00:00:00,1735862400,1052,29.37,0.18,0.0736,autre
2025-01-03 00:15:00,1735863300,604,29.11,0.18,0.0746,autre
2025-01-03 00:30:00,1735864200,3053,91.54,0.44,0.2505,cours
2025-01-03 00:45:00,1735865100,1610,85.35,0.46,0.2096,cours
2025-01-03 01:00:00,1735866000,664,33.99,0.21,0.09,autre
2025-01-03 01:15:00,1735866900,72,2.29,0.01,0.0052,autre
2025-01-03 01:30:00,1735867800,324,12.83,0.06,0.0314,autre
2025-01-03 01:45:00,1735868700,1028,58.26,0.37,0.1424,autre
2025-01-03 02:00:00,1735869600,1035,39.37,0.16,0.1021,autre
2025-01-03 02:15:00,1735870500,3925,179.96,1.03,0.5067,cours
2025-01-03 02:30:00,1735871400,2533,95.81,0.72,0.2713,cours
2025-01-03 02:45:00,1735872300,785,27.73,0.17,0.0707,autre
2025-01-03 03:00:00,1735873200,798,23.7,0.13,0.0661,autre
2025-01-03 03:15:00,1735874100,2341,73.32,0.45,0.1785,cours
2025-01-03 03:30:00,1735875000,5003,265.08,1.42,0.6051,cours
2025-01-03 03:45:00,1735875900,1063,42.36,0.26,0.0967,autre
2025-01-03 04:00:00,1735876800,3279,137.61,0.86,0.3309,cours
2025-01-03 04:15:00,1735877700,3526,130.05,0.85,0.3504,cours
2025-01-03 04:30:00,1735878600,3708,171.78,0.88,0.3937,cours
2025-01-03 04:45:00,1735879500,187,10.6,0.04,0.0242,autre
2025-01-03 05:00:00,1735880400,725,37.11,0.19,0.1004,autre
2025-01-03 05:15:00,1735881300,2818,110.58,0.56,0.261,cours
2025-01-03 05:30:00,1735882200,499,23.85,0.15,0.063,autre
2025-01-03 05:45:00,1735883100,3218,167.76,0.89,0.3899,cours
2025-01-03 06:00:00,1735884000,5297,252.23,1.08,0.5609,cours
2025-01-03 06:15:00,1735884900,992,47.79,0.2,0.1354,autre
2025-01-03 06:30:00,1735885800,628,21.0,0.11,0.0478,autre
2025-01-03 06:45:00,1735886700,971,27.52,0.13,0.0667,autre
2025-01-03 07:00:00,1735887600,1219,69.97,0.41,0.1564,autre
2025-01-03 07:15:00,1735888500,4424,166.87,0.65,0.4209,cours
2025-01-03 07:30:00,1735889400,3559,197.67,1.08,0.4547,cours
2025-01-03 07:45:00,1735890300,2853,133.6,1.09,0.375,cours
2025-01-03 08:00:00,1735891200,4198,104.65,0.48,0.2729,cours
2025-01-03 08:15:00,1735892100,3893,181.46,1.12,0.5087,cours
2025-01-03 08:30:00,1735893000,1068,45.82,0.17,0.1024,autre
2025-01-03 08:45:00,1735893900,4135,180.0,1.02,0.417,cours
2025-01-03 09:00:00,1735894800,1114,53.4,0.29,0.1227,autre
2025-01-03 09:15:00,1735895700,639,38.03,0.18,0.0857,autre
2025-01-03 09:30:00,1735896600,1195,26.36,0.17,0.0735,autre
2025-01-03 09:45:00,1735897500,3697,140.99,1.03,0.3629,cours
2025-01-03 10:00:00,1735898400,5575,228.98,1.15,0.6412,cours
2025-01-03 10:15:00,1735899300,2810,122.85,0.51,0.3311,cours
2025-01-03 10:30:00,1735900200,5235,225.3,1.69,0.6041,cours
2025-01-03 10:45:00,1735901100,859,24.12,0.14,0.0608,autre
2025-01-03 11:00:00,1735902000,2848,90.1,0.68,0.2391,cours
2025-01-03 11:15:00,1735902900,3016,96.33,0.64,0.2675,cours
2025-01-03 11:30:00,1735903800,703,32.06,0.24,0.0874,autre
2025-01-03 11:45:00,1735904700,3924,117.79,0.69,0.3229,cours
2025-01-03 12:00:00,1735905600,956,32.87,0.19,0.0735,autre
2025-01-03 12:15:00,1735906500,627,36.48,0.25,0.0856,autre
2025-01-03 12:30:00,1735907400,792,21.48,0.11,0.0481,autre
2025-01-03 12:45:00,1735908300,5642,310.8,1.4,0.7889,cours
2025-01-03 13:00:00,1735909200,5227,225.43,1.14,0.5966,cours
2025-01-03 13:15:00,1735910100,930,50.48,0.21,0.1174,autre
2025-01-03 13:30:00,1735911000,3538,113.13,0.55,0.2957,cours
2025-01-03 13:45:00,1735911900,836,19.42,0.1,0.0511,autre
2025-01-03 14:00:00,1735912800,984,43.72,0.27,0.1171,autre
2025-01-03 14:15:00,1735913700,493,22.68,0.15,0.0625,autre
2025-01-03 14:30:00,1735914600,3242,145.21,0.83,0.3866,cours
2025-01-03 14:45:00,1735915500,1831,50.42,0.32,0.1308,cours
2025-01-03 15:00:00,1735916400,919,46.14,0.18,0.1105,autre
2025-01-03 15:15:00,1735917300,4147,179.52,0.82,0.5039,cours
2025-01-03 15:30:00,1735918200,3016,126.1,0.6,0.3399,cours
2025-01-03 15:45:00,1735919100,5073,265.13,1.4,0.6153,cours
2025-01-03 16:00:00,1735920000,432,20.11,0.1,0.0552,autre
2025-01-03 16:15:00,1735920900,360,15.09,0.08,0.0393,autre
2025-01-03 16:30:00,1735921800,3724,109.05,0.52,0.2498,cours
2025-01-03 16:45:00,1735922700,4547,164.54,1.22,0.4502,cours
2025-01-03 17:00:00,1735923600,1305,30.96,0.13,0.0864,autre
2025-01-03 17:15:00,1735924500,662,24.43,0.15,0.0613,autre
2025-01-03 17:30:00,1735925400,4578,161.14,1.06,0.4238,cours
2025-01-03 17:45:00,1735926300,3461,91.81,0.61,0.2259,cours
2025-01-03 18:00:00,1735927200,748,28.3,0.19,0.0658,autre
2025-01-03 18:15:00,1735928100,1065,26.68,0.11,0.0734,autre
2025-01-03 18:30:00,1735929000,995,50.62,0.21,0.124,autre
2025-01-03 18:45:00,1735929900,327,17.79,0.13,0.0444,autre
2025-01-03 19:00:00,1735930800,4976,119.29,0.72,0.3273,cours
2025-01-03 19:15:00,1735931700,4880,274.53,1.56,0.6657,cours
2025-01-03 19:30:00,1735932600,612,23.51,0.16,0.0623,autre
2025-01-03 19:45:00,1735933500,918,30.74,0.19,0.0771,autre
2025-01-03 20:00:00,1735934400,948,22.46,0.18,0.0627,autre
2025-01-03 20:15:00,1735935300,878,34.78,0.26,0.0878,autre
2025-01-03 20:30:00,1735936200,2949,138.7,0.94,0.3644,cours
2025-01-03 20:45:00,1735937100,2828,142.49,0.64,0.3297,cours
2025-01-03 21:00:00,1735938000,792,18.03,0.14,0.0507,autre
2025-01-03 21:15:00,1735938900,1151,29.69,0.12,0.0758,autre
2025-01-03 21:30:00,1735939800,963,35.16,0.16,0.0888,autre
2025-01-03 21:45:00,1735940700,688,24.31,0.16,0.0575,autre
2025-01-03 22:00:00,1735941600,1031,33.01,0.15,0.081,autre
2025-01-03 22:15:00,1735942500,651,22.38,0.1,0.0537,cours
2025-01-03 22:30:00,1735943400,4648,247.06,0.99,0.5776,cours
2025-01-03 22:45:00,1735944300,1760,103.14,0.66,0.2364,cours
2025-01-03 23:00:00,1735945200,3137,110.56,0.65,0.2899,cours
2025-01-03 23:15:00,1735946100,2380,127.33,0.79,0.3153,cours
2025-01-03 23:30:00,1735947000,2205,82.03,0.35,0.189,cours
2025-01-03 23:45:00,1735947900,4660,205.26,1.21,0.4572,cours
2025-01-04 00:00:00,1735948800,3032,103.92,0.63,0.2367,cours
2025-01-04 00:15:00,1735949700,3846,165.63,0.84,0.4278,cours
2025-01-04 00:30:00,1735950600,3453,176.49,1.01,0.4776,cours
2025-01-04 00:45:00,1735951500,3977,171.79,0.78,0.4306,cours
2025-01-04 01:00:00,1735952400,823,30.94,0.22,0.0729,autre
2025-01-04 01:15:00,1735953300,2217,98.98,0.61,0.2479,cours
2025-01-04 01:30:00,1735954200,4496,125.06,0.91,0.314,cours
2025-01-04 01:45:00,1735955100,3006,170.95,0.77,0.3941,cours
2025-01-04 02:00:00,1735956000,333,12.89,0.09,0.0334,autre
2025-01-04 02:15:00,1735956900,3071,128.46,0.78,0.2947,cours
2025-01-04 02:30:00,1735957800,1250,52.19,0.34,0.1336,autre
2025-01-04 02:45:00,1735958700,4350,183.15,1.41,0.4784,cours
2025-01-04 03:00:00,1735959600,3151,81.91,0.43,0.2072,cours
2025-01-04 03:15:00,1735960500,3150,153.88,0.61,0.361,cours
2025-01-04 03:30:00,1735961400,3178,91.44,0.63,0.2522,cours
2025-01-04 03:45:00,1735962300,1423,61.6,0.43,0.1667,autre
2025-01-04 04:00:00,1735963200,914,51.18,0.27,0.115,autre
2025-01-04 04:15:00,1735964100,929,42.45,0.21,0.1155,autre
2025-01-04 04:30:00,1735965000,4530,192.01,1.07,0.472,cours
2025-01-04 04:45:00,1735965900,3738,154.95,0.75,0.3798,cours
2025-01-04 05:00:00,1735966800,722,20.58,0.11,0.0516,autre
2025-01-04 05:15:00,1735967700,3303,167.06,0.99,0.4031,cours
2025-01-04 05:30:00,1735968600,3428,104.48,0.73,0.2801,cours
2025-01-04 05:45:00,1735969500,3462,139.93,0.64,0.3453,cours
2025-01-04 06:00:00,1735970400,4227,135.43,0.74,0.3498,cours
2025-01-04 06:15:00,1735971300,815,23.98,0.11,0.0576,autre
2025-01-04 06:30:00,1735972200,1019,40.95,0.2,0.1125,autre
2025-01-04 06:45:00,1735973100,775,20.3,0.13,0.0499,autre
2025-01-04 07:00:00,1735974000,3578,158.09,1.23,0.429,cours
2025-01-04 07:15:00,1735974900,1501,48.44,0.26,0.1282,cours
2025-01-04 07:30:00,1735975800,4416,98.55,0.7,0.265,cours
2025-01-04 07:45:00,1735976700,3846,142.9,1.1,0.388,cours
2025-01-04 08:00:00,1735977600,4498,124.04,0.79,0.2867,cours
2025-01-04 08:15:00,1735978500,50,1.55,0.01,0.0041,autre
2025-01-04 08:30:00,1735979400,1426,73.58,0.49,0.1662,autre
2025-01-04 08:45:00,1735980300,3360,97.65,0.45,0.2185,cours
2025-01-04 09:00:00,1735981200,1132,58.6,0.29,0.1439,autre
2025-01-04 09:15:00,1735982100,488,10.72,0.05,0.0294,autre
2025-01-04 09:30:00,1735983000,4112,127.05,0.73,0.3279,cours
2025-01-04 09:45:00,1735983900,483,24.76,0.1,0.0576,autre
2025-01-04 10:00:00,1735984800,2876,94.88,0.46,0.2453,cours
2025-01-04 10:15:00,1735985700,5414,132.35,0.73,0.369,cours
2025-01-04 10:30:00,1735986600,3309,119.23,0.8,0.2939,cours
2025-01-04 10:45:00,1735987500,865,30.68,0.2,0.0706,autre
2025-01-04 11:00:00,1735988400,4370,239.2,1.09,0.5568,cours
2025-01-04 11:15:00,1735989300,3995,124.9,0.95,0.3398,cours
2025-01-04 11:30:00,1735990200,3650,187.51,1.25,0.4494,cours
2025-01-04 11:45:00,1735991100,3864,188.83,1.34,0.5075,cours
2025-01-04 12:00:00,1735992000,1521,53.56,0.25,0.144,autre
2025-01-04 12:15:00,1735992900,782,45.42,0.26,0.1038,autre
2025-01-04 12:30:00,1735993800,3701,125.16,0.97,0.3338,cours
2025-01-04 12:45:00,1735994700,4550,234.8,1.57,0.6239,cours
2025-01-04 13:00:00,1735995600,4605,108.24,0.62,0.3092,cours
2025-01-04 13:15:00,1735996500,4687,235.5,1.21,0.5388,cours
2025-01-04 13:30:00,1735997400,4138,176.75,1.02,0.4118,cours
2025-01-04 13:45:00,1735998300,2356,88.5,0.49,0.2144,cours
2025-01-04 14:00:00,1735999200,5133,241.33,0.95,0.5678,cours
2025-01-04 14:15:00,1736000100,456,19.37,0.1,0.053,autre
2025-01-04 14:30:00,1736001000,890,21.26,0.15,0.0537,autre
2025-01-04 14:45:00,1736001900,2745,77.55,0.56,0.2014,cours
2025-01-04 15:00:00,1736002800,3435,144.49,0.69,0.402,cours
2025-01-04 15:15:00,1736003700,898,40.56,0.3,0.1018,autre
2025-01-04 15:30:00,1736004600,3821,231.89,1.05,0.5246,cours
2025-01-04 15:45:00,1736005500,926,39.63,0.28,0.1119,autre
2025-01-04 16:00:00,1736006400,1284,66.24,0.46,0.1747,autre
2025-01-04 16:15:00,1736007300,3953,170.31,1.25,0.4594,cours
2025-01-04 16:30:00,1736008200,3255,102.02,0.8,0.2729,cours
2025-01-04 16:45:00,1736009100,1089,32.85,0.15,0.0745,autre
2025-01-04 17:00:00,1736010000,4689,228.01,1.6,0.5746,cours
2025-01-04 17:15:00,1736010900,2272,100.51,0.43,0.2534,cours
2025-01-04 17:30:00,1736011800,979,26.63,0.16,0.0625,autre
2025-01-04 17:45:00,1736012700,4201,136.34,0.97,0.3731,cours
2025-01-04 18:00:00,1736013600,3202,174.33,1.1,0.4372,cours
2025-01-04 18:15:00,1736014500,1212,47.65,0.23,0.1212,autre
2025-01-04 18:30:00,1736015400,3349,129.82,0.89,0.3169,cours
2025-01-04 18:45:00,1736016300,3625,157.59,0.61,0.3502,cours
2025-01-04 19:00:00,1736017200,748,24.5,0.09,0.0574,autre
2025-01-04 19:15:00,1736018100,3515,122.62,0.81,0.3146,cours
2025-01-04 19:30:00,1736019000,471,18.26,0.09,0.0422,autre
2025-01-04 19:45:00,1736019900,367,8.65,0.07,0.0236,autre
2025-01-04 20:00:00,1736020800,5094,218.34,1.28,0.6184,cours
2025-01-04 20:15:00,1736021700,2653,91.71,0.43,0.2476,cours
2025-01-04 20:30:00,1736022600,2508,121.14,0.87,0.3154,cours
2025-01-04 20:45:00,1736023500,1346,69.11,0.4,0.1723,cours
2025-01-04 21:00:00,1736024400,2861,90.61,0.39,0.2202,cours
2025-01-04 21:15:00,1736025300,403,20.01,0.12,0.0454,autre
2025-01-04 21:30:00,1736026200,5142,201.61,1.14,0.5028,cours
2025-01-04 21:45:00,1736027100,4509,235.29,1.42,0.588,cours
2025-01-04 22:00:00,1736028000,593,16.27,0.1,0.0458,autre
2025-01-04 22:15:00,1736028900,5752,232.25,1.8,0.657,cours
2025-01-04 22:30:00,1736029800,1094,48.14,0.33,0.1188,autre
2025-01-04 22:45:00,1736030700,3175,104.56,0.68,0.2655,cours
